Sweep Target,Sweep Value,Year,Cumulative Cash
Cert Multiplier,0.9,1,-5200419.184290026
Cert Multiplier,0.9,2,436661.63141994737
Cert Multiplier,0.9,3,6073742.447129921
Cert Multiplier,0.9,4,16068742.44712992
Cert Multiplier,0.9,5,26063742.44712992
Cert Multiplier,0.9,6,36058742.44712992
Cert Multiplier,0.9,7,46053742.44712992
Cert Multiplier,0.9,8,56048742.44712992
Cert Multiplier,0.9,9,66043742.44712992
Cert Multiplier,0.9,10,76038742.44712992
Cert Multiplier,1.0,0,-11625000.0
Cert Multiplier,1.0,1,-6304584.592145012
Cert Multiplier,1.0,2,-984169.1842900235
Cert Multiplier,1.0,3,4336246.223564965
Cert Multiplier,1.0,4,14331246.223564964
Cert Multiplier,1.0,5,24326246.223564964
Cert Multiplier,1.0,6,34321246.22356497
Cert Multiplier,1.0,7,44316246.22356497
Cert Multiplier,1.0,8,54311246.22356497
Cert Multiplier,1.0,9,64306246.22356497
Cert Multiplier,1.0,10,74301246.22356497
Cert Multiplier,1.1,0,-12412500.0
Cert Multiplier,1.1,1,-7408749.999999996
Cert Multiplier,1.1,2,-2404999.9999999925
Cert Multiplier,1.1,3,2598750.000000011
Cert Multiplier,1.1,4,12593750.000000011
Cert Multiplier,1.1,5,22588750.00000001
Cert Multiplier,1.1,6,32583750.00000001
Cert Multiplier,1.1,7,42578750.000000015
Cert Multiplier,1.1,8,52573750.000000015
Cert Multiplier,1.1,9,62568750.000000015
Cert Multiplier,1.1,10,72563750.00000001
Cert Multiplier,1.2,0,-13200000.0
Cert Multiplier,1.2,1,-8512915.407854982
Cert Multiplier,1.2,2,-3825830.8157099625
Cert Multiplier,1.2,3,861253.7764350567
Cert Multiplier,1.2,4,10856253.776435057
Cert Multiplier,1.2,5,20851253.776435055
Cert Multiplier,1.2,6,30846253.776435055
Cert Multiplier,1.2,7,40841253.776435055
Cert Multiplier,1.2,8,50836253.776435055
Cert Multiplier,1.2,9,60831253.776435055
Cert Multiplier,1.2,10,70826253.77643505
Cert Multiplier,1.3,0,-13987500.0
Cert Multiplier,1.3,1,-9617080.815709965
Cert Multiplier,1.3,2,-5246661.631419931
Cert Multiplier,1.3,3,-876242.4471298959
Cert Multiplier,1.3,4,9118757.552870104
Cert Multiplier,1.3,5,19113757.552870102
Cert Multiplier,1.3,6,29108757.552870102
Cert Multiplier,1.3,7,39103757.5528701
Cert Multiplier,1.3,8,49098757.5528701
Cert Multiplier,1.3,9,59093757.5528701
Cert Multiplier,1.3,10,69088757.5528701
Cert Multiplier,1.4,0,-14775000.0
Cert Multiplier,1.4,1,-10721246.223564949
Cert Multiplier,1.4,2,-6667492.447129899
Cert Multiplier,1.4,3,-2613738.6706948485
Cert Multiplier,1.4,4,7381261.3293051515
Cert Multiplier,1.4,5,17376261.32930515
Cert Multiplier,1.4,6,27371261.32930515
Cert Multiplier,1.4,7,37366261.32930515
Cert Multiplier,1.4,8,47361261.32930515
Cert Multiplier,1.4,9,57356261.32930515
Cert Multiplier,1.4,10,67351261.32930514
Cert Multiplier,1.5,0,-15562500.0
Cert Multiplier,1.5,1,-11825411.631419934
Cert Multiplier,1.5,2,-8088323.262839869
Cert Multiplier,1.5,3,-4351234.894259803
